,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50
,2.0000000e+00,2.0546289e+00,3.2797649e+00,2.9671208e+00,4.7665977e+00,2.3319449e+00,2.1572661e+00,1.7664288e+00,4.8654359e+00,3.7109006e+00,3.1356974e+00,2.2133195e+00,2.1587112e+00,4.1629389e+00,6.4259890e-01,3.3570099e+00,3.8327788e+00,3.2757153e+00,4.6442870e+00,2.3892746e+00,3.6814387e+00,2.0551994e+00,3.7031115e+00,1.7824174e+00,2.9614434e+00,2.6705873e+00,5.0033488e+00,1.9760340e+00,2.4135082e+00,2.5866956e+00,3.7703404e+00,3.6436193e+00,2.1517900e+00,3.4501190e+00,1.6681022e+00,3.2673648e+00,1.3640377e+00,2.5145314e+00,4.1499854e+00,6.5304701e+00,3.2007426e+00,3.4326595e+00,1.4386478e+00,1.8035624e+00,3.1550817e+00,2.7097508e+00,2.3083393e+00,4.4241210e+00,3.3304345e+00,4.2023047e+00,3.3298022e+00
,2.0000000e+00,5.1003744e+00,3.1627319e+00,2.1016057e+00,2.7224121e+00,2.7647352e+00,3.1262811e+00,1.9578713e+00,3.0980691e+00,4.3786009e+00,2.5091266e+00,3.0257313e+00,3.8135183e+00,3.1343341e+00,3.8990691e+00,3.8764615e+00,3.6876467e+00,2.6466244e+00,1.7688744e+00,3.3133712e+00,4.4924889e+00,2.0375166e+00,5.1500207e+00,2.4025764e+00,2.7565031e+00,3.8078574e+00,3.1543570e+00,3.9800839e+00,3.4357843e+00,3.1191928e+00,2.7568624e+00,1.9047689e+00,1.5920349e+00,3.1190278e+00,3.6657696e+00,3.1375782e+00,2.2387406e+00,3.9534173e+00,2.7421495e+00,1.0379462e+00,1.3054301e+00,2.8217533e+00,3.5668447e+00,6.2146137e+00,2.5382955e+00,3.1973903e+00,1.0933163e+00,1.3235551e+00,3.5256617e+00,3.4166582e+00,2.4276701e+00
,2.0000000e+00,2.7849829e+00,3.1021581e+00,4.1662735e+00,3.6466262e+00,2.6787377e+00,3.2039487e+00,3.3721167e+00,1.5133489e+00,3.3954933e+00,7.4893100e-01,2.0839720e+00,1.8592351e+00,4.2395141e+00,2.0704996e+00,4.2841828e+00,4.5682733e+00,3.6925803e+00,4.6128817e+00,3.6349916e+00,3.7690058e+00,4.4349004e+00,3.5498586e+00,1.6284158e+00,2.4467714e+00,1.5620168e+00,1.8908908e+00,4.6807959e+00  -2.2396156e-01,9.7276163e-01,4.0183644e+00,2.7343289e+00,2.9658253e+00,2.0833859e+00,3.5213481e+00,1.6039814e+00,2.6834751e+00,2.8160419e+00,4.1055412e+00,4.2554788e+00,2.8374398e+00,2.3072353e+00,2.4499259e+00,2.9763778e+00,3.5815801e+00,3.3457911e+00,2.1035555e+00,3.3872779e+00,3.0330336e+00,2.0699903e+00,2.8222434e+00
,2.0000000e+00,2.1811734e+00,2.0640987e+00,2.2645403e+00,4.1076413e+00,4.7105653e+00,3.9380143e+00,3.4991842e+00,2.9603395e+00,3.7671977e+00,3.2385085e+00,2.1765442e+00,2.7666641e+00,3.3407668e+00,2.5275167e+00,3.3984532e+00,3.6248246e+00,3.3771720e+00,2.4048056e+00,3.5328225e+00,2.5758746e+00,3.1995864e+00,1.3993847e+00,2.6213132e+00,2.5926081e+00,2.1954644e+00,3.4007234e+00,3.3498435e+00,3.8813986e+00,2.2692140e+00,2.2513488e+00,2.5322690e+00,2.1460156e+00,3.4077708e+00,4.0545160e+00,2.4246974e+00,1.7435492e+00,2.9191586e+00,1.5734875e+00,2.9235173e+00,3.7682698e+00,4.3829121e+00,1.4575321e+00,4.3957339e+00,2.1972671e+00,3.8907907e+00,1.6824742e+00,3.4001519e+00,3.4372055e+00,3.3135667e+00,2.1847358e+00
,2.0000000e+00,3.0282742e+00,1.2147413e+00,1.6096293e+00,2.7535788e+00,3.5785483e+00,3.1260774e+00,1.5733828e+00,2.0626270e+00,2.2735567e+00,3.0527877e+00,2.7842482e+00,2.5328705e+00,2.9185714e+00,2.9928148e+00,3.1939927e+00,2.0476031e+00,3.0766078e+00,1.9103133e+00,2.6505846e+00,2.9579297e+00,2.4717633e+00,3.4990091e+00,3.1931167e+00,3.5333494e+00,1.6852191e+00,2.2342143e+00,1.0526677e-01,1.9572211e+00,2.7629190e+00,4.5366943e+00,3.2385302e+00,2.9490214e+00,3.6332142e+00,4.1581988e+00,2.4575979e+00,2.9347708e+00,3.1522506e+00,2.5237268e+00,1.3684943e+00,3.4074487e+00,3.1333154e+00,2.3958781e+00,4.2499595e+00,2.1416149e+00,2.9668534e+00,2.3666797e+00,3.2155054e+00,1.9260160e+00,2.2255811e+00,3.7277659e+00
,2.0000000e+00,3.4449066e+00,2.6022880e+00,5.2930628e+00,4.0598263e+00,2.8115071e+00,2.6152119e+00,2.8725820e+00,1.8552583e+00,3.4177928e+00,4.3489542e+00,3.2985567e+00,3.1593381e+00,3.3375397e+00,3.7883313e+00,2.2738799e+00,1.6651961e+00,2.4253407e+00,2.7519981e+00,3.3517598e+00,4.7185722e+00,2.9334822e+00,2.5652602e+00,4.3581287e+00,8.0553154e-01,4.3654840e+00,3.0466756e+00,5.0487176e+00,4.4494118e+00,2.5359079e+00,1.8889077e+00,2.6791448e+00,1.3691425e-01,2.9290966e+00,4.2413098e+00,3.9955103e+00,8.9846346e-01,4.6381851e+00,3.3044526e+00,1.9505456e+00,3.3365172e+00,1.8017182e+00,3.6966021e+00,4.0487099e+00,2.6795920e+00,2.9891630e+00,2.6053707e+00,3.5890661e+00,2.7690713e+00,3.7824844e+00,2.4697325e+00
,1.0000000e+00,3.2730729e+00,3.9353733e+00,3.4916854e+00,2.5941962e+00,2.0272222e+00,1.9585063e+00,3.4899725e+00,2.5840013e+00,2.0442083e+00,2.8586319e+00,3.5983093e+00,5.4619133e+00,3.6880622e+00,3.8192209e+00,3.2715574e+00,3.3765733e+00,3.2221511e+00,2.7067530e+00,2.5789597e+00,1.4998044e+00,1.9619476e+00,3.8023569e+00,2.2107949e+00,2.8118854e+00,3.6340175e+00,3.9926977e+00,2.6013627e+00,3.3460267e+00,1.5763451e-01,3.7649569e+00,1.3772607e+00,4.2041187e+00,3.2820198e+00,3.6420351e+00,2.8164125e+00,2.9659030e+00,2.9994720e+00,2.0853025e+00,4.1155612e+00,3.5872369e+00,2.1018619e+00,3.1719624e+00,1.8485231e+00,3.1653247e+00,1.3006841e+00,2.5163813e+00,3.3137332e+00,2.3774604e+00,4.0061079e+00,2.2528344e+00
,2.0000000e+00,3.4611768e+00,3.9883845e+00,4.6417367e+00,4.0238569e+00,3.8503307e+00,2.4091616e+00,2.5582547e+00,5.6598556e+00,4.0970589e+00,2.8792325e+00,2.9137609e+00,3.7820364e+00,2.4944568e+00,2.7799319e+00,2.8046579e+00,4.3575444e+00,1.8099658e+00,1.6087202e+00,4.0982529e+00,4.8665537e+00,1.4336837e+00,2.7556810e+00,2.8055590e+00,2.4158579e+00,2.0777777e+00,4.0615332e+00,2.7277791e+00,1.9769534e+00,1.9340140e+00,2.9889292e+00,4.5994848e+00,2.1092882e+00,2.4103287e+00,3.9617623e+00,1.7999903e+00,3.7531979e+00,4.1871321e+00,2.5079562e+00,2.2947045e+00,3.8780432e+00,4.9920049e+00,2.6455698e+00,1.1418016e+00,4.1597017e+00,2.9350388e+00,3.4563223e+00,2.7158447e+00,2.0963843e+00,3.4166484e+00,2.3862655e+00
,2.0000000e+00,3.4975468e+00,1.7925435e+00,3.2083106e+00,7.7194728e-01,2.1358405e+00,4.2962681e+00,4.6212002e+00,4.6278409e+00,3.5656036e+00,3.8833673e+00,2.7532596e+00,3.0124922e+00,2.1105044e+00,3.4956860e+00,3.2130655e+00,2.3749302e+00,3.5082683e+00,2.4347572e+00,1.8099439e+00,4.0973900e+00,3.0475874e+00,2.8631429e+00,2.5174219e+00,4.7409403e+00,1.5050776e+00,3.0547131e+00,4.6486064e+00,2.8994164e+00,2.6988923e+00,1.4358769e+00,1.9223322e+00,1.6916002e+00,4.1951754e+00,3.2142899e+00,2.3096794e+00,3.0850736e+00,2.0701094e+00,3.3154052e+00,2.6205776e+00,1.5202259e+00,3.5159204e+00,2.0550988e+00,2.8387558e+00,3.9887601e+00,2.3693715e+00,2.3917258e+00,2.4960452e+00,3.7740300e+00,3.0645537e+00,1.2398738e+00
,2.0000000e+00,3.8662381e+00,4.0337865e+00,3.0328058e+00,1.6631934e+00,2.2821425e+00,3.9473967e+00,2.7770165e+00,4.4969774e+00,3.6714902e+00,2.4715880e+00,3.1860225e+00,2.6169047e+00,2.8761654e+00,2.2842244e+00,4.3082628e+00,2.5318568e+00,3.0256774e+00,2.0959780e+00,7.1887784e-01,2.8205728e+00,2.4131280e+00,3.8163105e+00,2.8174419e+00,2.2454270e+00,3.4081386e+00,2.0147168e+00,2.6680338e+00,2.4102452e+00,4.3772047e+00,3.2109263e+00,4.5733399e+00,3.1578714e+00,3.7684481e+00,1.8391059e+00,2.1074691e+00,4.0042258e+00,2.4678404e+00,2.0253292e+00,1.9234366e+00,2.2758811e+00,1.8279201e-01,1.9191742e+00,2.8604407e+00,2.1160754e+00,3.6863036e+00,2.6576197e+00,1.2358709e+00,2.6646809e+00,1.3163363e+00,3.1650587e+00
,1.0000000e+00,9.0942026e-01,3.3800510e+00,4.0116860e+00,3.3208213e+00,3.2528752e+00,4.2582185e+00,3.3900194e+00,5.7577268e+00,2.3552625e+00,3.2989264e+00,3.7963891e+00,2.6049094e+00,3.1716002e+00,3.5699238e+00,3.7709086e+00,2.1902956e+00,2.6575240e+00,1.0773769e+00,3.3443069e+00,4.1665620e+00,2.5439255e+00,4.3204078e+00,3.7100773e+00,2.6918297e+00,4.3194468e+00,3.9609570e+00,1.9112464e+00,4.0031590e+00,3.6297364e+00,6.4023620e-01,1.1891208e+00,3.3641370e+00,1.3283780e+00,2.3191681e+00,2.8943331e+00,1.5822032e+00,4.4846729e+00,2.4064614e+00,2.8371819e+00,1.4233961e+00,2.9224104e+00,4.8865832e+00,1.8208451e+00,2.6285432e+00,1.8106163e+00,4.2932754e+00,2.4294496e+00,2.3825304e+00,2.8482923e+00,2.1193097e+00
,2.0000000e+00,3.3163261e+00,3.2210017e+00,1.7697632e+00,2.2758726e+00,3.1643688e+00,3.2798767e+00,2.0198052e+00,3.0830668e+00,3.3803283e+00,5.3841256e-01,2.7291814e+00,2.6011958e+00,5.0362100e+00,2.5338692e+00,2.6655624e+00,3.1807031e+00,1.2826463e+00,3.5830095e+00,3.0392790e+00,3.9230776e+00,2.8987668e+00,2.7093469e+00,2.7960231e+00,4.3647329e+00,1.7524959e+00,3.5182149e+00,2.2003235e+00,3.6403796e+00,2.4029226e+00,1.7779987e+00,2.1817283e+00,2.8428883e+00,3.9539353e+00,3.0737568e+00,2.8170095e+00,4.6329561e+00,2.0838516e+00,2.5034715e+00,3.7630289e+00,2.7038238e+00,2.2272822e+00,4.0736285e+00,1.1679019e+00,3.7114848e+00,2.4100632e+00,3.5515325e+00,2.5068203e+00,3.0933418e+00,2.7559989e+00,3.1255159e+00
,2.0000000e+00,3.3208859e+00,3.1962027e+00,1.6036586e+00,2.9531208e+00,3.8375204e+00,3.3552518e+00,1.7426731e+00,3.5624321e+00,3.0983933e+00,2.5735602e+00,3.8613164e+00,2.5308641e+00,4.6209055e+00,4.3114258e+00,4.4990455e+00,3.5159121e+00,1.7096933e+00,3.6067317e+00,2.2439754e+00,2.4541005e+00,3.8253476e+00,3.4412273e+00,2.9546996e+00,3.9225250e+00,4.2688798e+00,3.7215876e+00,3.5962693e+00,3.2648881e+00,2.2678952e+00,3.5054486e+00,1.3445522e+00,3.2554893e+00,2.7602804e+00,2.9242481e+00,4.1252041e+00,2.9827791e+00,1.1091739e+00,1.9786718e+00,3.1950629e+00,3.9001817e+00,1.8276077e+00,4.1378558e+00,4.5348956e+00,1.1303439e+00,2.4374711e+00,2.1474300e+00,6.2828427e-01,3.3620916e+00,2.4656038e+00,3.7448466e+00
,1.0000000e+00,2.7488541e+00,5.1659719e+00,2.1826955e+00,2.2341964e+00,2.9476193e+00,3.0966270e+00,3.2880925e+00,1.5718883e+00,2.8444061e+00,3.3280417e+00,3.8780964e+00,1.6894238e+00,4.2688236e+00,3.3723755e+00,2.6333623e+00,2.5507516e+00,2.1159593e+00,2.1929139e+00,1.3681829e+00,3.3609662e+00,3.7366019e+00,2.4436557e+00,3.6583838e+00,3.3345014e+00,1.7976156e+00,2.9408994e+00,3.6373006e+00,2.4905653e+00,3.0246643e+00,3.1835544e+00,1.3684606e+00,2.4933420e+00,4.0166743e+00,3.3752324e+00,5.0759528e+00,3.8238231e+00,2.8600491e+00,4.7603225e-01,2.8989995e+00,3.7314819e+00,3.2213858e+00,4.2715092e+00,2.9047406e+00,2.7079632e+00,3.1836230e+00,2.0841948e+00,3.6348959e+00,3.9555917e+00,4.1279226e+00,2.8310085e+00
,2.0000000e+00,3.3089107e+00,2.0412312e+00,2.6492179e+00,3.4019400e+00,2.2497562e+00,3.4458738e+00,4.0109770e+00,2.9918442e+00,3.0880170e+00,3.0275100e+00,4.0927310e+00,4.5658190e+00,1.8213714e+00,6.5151653e-02,4.6594145e+00,3.0690395e+00,3.9688116e+00,1.7821559e+00,3.7438472e+00,3.6415998e+00,2.7287973e+00,2.2556834e+00,3.0672293e+00,4.1411579e+00,3.0546300e+00,3.8761647e+00,4.2234307e+00,4.3570527e+00,4.0016014e+00,3.1714781e+00,2.1048524e+00,2.3257437e+00,2.2007990e+00,2.8958189e+00,2.3095909e+00,3.2998894e+00,3.2168935e+00,2.8134352e+00,2.4024235e+00,2.5758184e+00,1.5939672e+00,3.5963199e+00,3.8009878e+00,8.6218818e-01,2.4185153e+00,3.6539000e+00,4.2855371e+00,2.4363828e+00,2.0800776e+00,3.5598383e+00
,2.0000000e+00,4.0841844e+00,3.7175672e+00,1.2583246e+00,3.2104387e+00,3.5356817e+00,1.9170514e+00,2.4748484e+00,2.4759024e+00,3.1332508e+00,2.2733705e+00,2.2984890e+00,1.0901228e+00,2.7683524e+00,2.4977856e+00,1.3099438e+00,2.5760761e+00,3.3309142e+00,2.8182607e+00,2.4690060e+00,3.0937506e+00,3.4491815e+00,5.6984985e+00,4.3953083e+00,3.0942750e+00,1.7136299e+00,2.6695037e+00,2.4265232e+00,4.0966768e+00,5.0186951e+00,3.6205521e+00,4.8897616e+00,1.5193086e+00,1.5550757e+00,2.0873896e+00,2.8871323e+00,4.0102537e+00,1.0416051e+00,4.2390432e+00,2.5466868e+00,2.1391982e+00,3.8990253e+00,2.7980618e+00,1.9830128e+00,3.3443727e+00,3.9256100e+00,3.1233605e+00,2.9064711e+00,2.9763555e+00,2.1758022e+00,3.4385240e+00
,1.0000000e+00,2.6920066e+00,3.3135842e+00,1.5656152e+00,5.7906701e+00,4.0884811e+00,2.4406925e+00,2.5312287e+00,4.0099917e+00,2.8159512e+00,3.7122493e+00,4.0255821e+00,2.8033107e+00,3.8401008e+00,3.0213427e+00,3.8877686e+00,4.3916236e+00,3.5114602e+00,1.6908504e+00,1.9318384e+00,1.8048342e+00,3.3046752e+00,3.3117953e+00,1.6562890e+00,3.4869806e+00,4.2911149e+00,2.6905630e+00,3.4358937e+00,1.5832147e+00,4.8322435e+00,3.1113502e+00,3.9905214e+00,2.8722028e+00,1.8976894e+00,2.9752637e+00,3.6958153e+00,3.6413962e+00,4.4248551e+00,2.3020637e+00,4.4046580e+00,2.6065286e+00,2.2702490e+00,2.2310869e+00,2.1460682e+00,3.8604053e+00,2.4344528e+00,3.4775450e+00,3.6721057e+00,3.8687628e+00,2.9460837e+00,4.4020682e+00
,2.0000000e+00,2.3056323e+00,2.3105065e+00,1.4215319e+00,3.1949444e+00,2.0567380e+00,4.1975805e+00,2.5412994e+00,4.4904255e+00,2.4414655e+00,3.3956256e+00,5.0175556e+00,2.5117835e+00,3.1106127e+00,4.1554220e+00,3.4602508e+00,3.9518143e+00,2.5665962e+00,1.7495922e+00,2.5080864e+00,1.2501378e+00,2.9301787e+00,3.6195067e+00,2.4838485e+00,3.9343831e+00,2.0932944e+00,1.8999927e+00,2.2494975e+00,3.0018745e+00,4.2645545e+00,4.7283502e+00,2.8107073e+00,2.5333118e+00,4.4726576e+00,5.5384937e+00,3.2489548e+00,3.8765762e+00,3.0816622e+00,2.4439122e+00,7.2933576e-01,1.8783881e+00,3.1353223e+00,2.1084314e+00,2.8303805e+00,3.8116123e+00,3.1113122e+00,2.7524093e+00,3.4872402e+00,3.3736546e+00,3.2304368e+00,1.3371197e+00
,2.0000000e+00,2.7368932e+00,2.5148885e+00,3.4114258e+00,2.2298910e+00,5.0679288e+00,2.4218079e+00,4.8434169e+00,2.4095763e+00,2.9381780e+00,2.5127144e+00,2.2060839e+00,1.6558265e+00,2.9173250e+00,2.4277415e+00,3.6139258e+00,2.3875334e+00,3.9064158e+00,3.7878396e+00,2.2577460e+00,1.3683313e+00,3.3289695e+00,3.9876227e+00,4.0665430e+00,3.0016831e+00,4.2059691e+00,4.0625489e+00,4.3265534e+00,3.2961962e+00,1.3353196e+00,3.8033344e+00,5.0152148e+00,4.9638930e+00,2.4148442e+00,2.8391377e+00,2.2042013e+00,1.8849640e+00,4.2250110e+00,2.7683411e+00,3.4418449e+00,1.4666536e+00,1.6634945e+00,1.4793964e+00,2.6207006e+00,3.5540376e+00,2.6964941e+00,3.4575414e+00,1.0234985e+00,5.1546379e+00,4.3725748e+00,2.7017133e+00
